1 1 -0.782
1 2 0.879
1 3 -0.966
1 4 -0.816
1 5 -0.752
1 6 -0.85
1 8 0.417
1 9 -0.898
1 10 -0.476
1 11 -0.85
1 12 -0.675
1 15 -0.718
1 17 -0.743
1 18 -0.981
1 19 -0.985
1 20 -0.985
1 22 0.15
1 23 -0.437
1 25 -0.85
1 26 0.112
1 27 0.782
1 28 0.286
1 29 0.913
1 30 -0.743
1 32 -0.408
1 33 -0.908
1 34 0.782
1 35 0.505
1 36 0.495
1 38 -0.84
1 39 -0.84
1 41 -0.811
1 42 -0.913
1 43 -0.903
1 45 -0.714
1 47 0.379
1 48 -0.01
1 50 0.413
1 52 -0.714
1 53 0.32
1 54 0.83
1 55 -0.456
1 56 0.092
1 57 -0.913
1 59 0.282
1 60 -0.864
1 61 0.859
1 62 0.359
1 63 -0.684
1 65 0.282
1 66 -0.136
1 67 -0.908
1 78 -0.942
1 82 -0.772
1 91 0.282
1 97 -0.563
2 2 -0.029
2 3 0.636
2 4 0.437
2 5 -0.238
2 6 -0.966
2 7 -0.073
2 9 0.888
2 10 0.922
2 11 0.675
2 13 0.442
2 14 0.743
2 15 0.456
2 16 -0.097
2 17 0.466
2 18 -0.068
2 19 0.33
2 20 -0.121
2 22 0.864
2 23 0.835
2 25 0.005
2 26 0.757
2 27 0.471
2 28 0.087
2 29 -0.039
2 30 0.699
2 32 -0.092
2 33 0.714
2 34 0.903
2 35 -0.18
2 36 0.073
2 38 0.34
2 39 -0.087
2 40 0.791
2 42 -0.383
2 43 0.864
2 45 -0.432
2 46 -0.32
2 47 -0.49
2 48 -0.092
2 50 0.364
2 51 0.316
2 52 0.903
2 53 0.097
2 54 -0.131
2 55 -0.65
2 56 -0.32
2 58 -0.214
2 59 0.01
2 60 0.903
2 61 -0.67
2 62 -0.335
2 63 -0.903
2 64 0.447
2 65 0.408
2 66 -0.383
2 67 0.874
2 69 0.078
2 70 0.752
2 71 -0.5
2 72 0.277
2 74 0.777
2 75 0.733
2 76 0.621
2 77 0.772
2 80 0.82
2 81 0.393
2 82 0.485
